Smiles	Standard Type	Standard Relation	Standard Value	Standard Units	Assay Description
O=C(Cn1c(-c2ccccn2)nc2ccccc21)c1ccc(Cl)cc1	IC50	'='	31900.0	nM	Inhibition of human cathepsin D using DABCYL-Glu-Arg-Nle-Phe-Leu-Ser-Phe-Pro-EDANS as substrate by FRET analysis
CC(C)C[C@H](NC(=O)[C@H](C)NC(=O)[C@H](CCCNC(=N)N)NS(=O)(=O)Cc1ccccc1)[C@@H](O)CC(=O)NCCc1ccccc1.O=C(O)C(F)(F)F	IC50	'>'	100000.0	nM	Inhibition of human cathepsin D assessed as cleavage of wtKAHRP fluorogenic substrate
CC(C)[C@H](NC(=O)OCc1ccccc1)C(=O)N[C@@H](Cc1ccccc1)[C@@H](O)[C@H]1NCc2ccc(cc2)OCCOCCNC(=O)[C@H](C(C)C)NC1=O	IC50	'>'	10000.0	nM	The compound was tested for inhibition of Human Cathepsin D
CCCCNC(=O)[C@H](C)C[C@H](O)[C@@H]1C[C@H](C)CCCCCCC(=O)N[C@@H](C)C(=O)N1	IC50				Inhibition of human cathepsin D
CCCCNC(=O)[C@H](C)C[C@H](O)[C@@H]1C[C@H](C)CCCCCCCCC(=O)N(C)[C@@H](C)C(=O)N1	IC50	'='	8100.0	nM	Inhibition of human cathepsin D
COc1ccc(C2(c3ccc(F)c(-c4cccnc4F)c3)N=C(N)N(C)C2=O)cc1C	IC50	'='	2410.0	nM	Inhibition of human cathepsin D by FRET based peptide cleavage assay
NC1=NC(c2ccc(OC(F)(F)F)cc2)(c2cccc(-c3cccnc3F)c2)C2=NOCCN12	IC50	'='	2400.0	nM	Inhibition of human cathepsin D by FRET
CN1C(=O)C(c2ccc(OC(F)(F)F)cc2)(c2cccc(-c3cncnc3)c2F)N=C1N	IC50	'='	26180.0	nM	Inhibition of human cathepsin D by FRET based peptide cleavage assay
C[C@@]1(c2nc(NC(=O)c3ncc(OCC(F)(F)F)nc3N)ccc2F)CO[C@@](C)(C(F)(F)F)C(N)=N1	IC50	'='	106000.0	nM	Inhibition of human Cathepsin D using Mca-GKPILFFRLK(DNP)D-R-NH2 as a substrate
CCOc1ccc2nc(Sc3ccc(NC(=O)c4ccc(C(F)(F)F)cc4O)cc3)sc2c1	IC50	'>'	10000.0	nM	Inhibitory activity against human liver Cathepsin D using Cathepsin D assay.
C[C@H]1C[C@@H](N2C(=N)N[C@](C)(c3cccc(Nc4cnc(C5CC5)nc4)c3Cl)CC2=O)CCO1	IC50	'='	215.0	nM	Inhibition of human cathepsin D
CC1(C)Cc2ccc(-c3cncnc3)cc2[C@@]2(COC(N)=N2)C1	IC50	'='	88464.0	nM	Inhibition of human spleen cathepsin D using 5-FAM/QXL as peptide substrate after 1 hr by FRET assay
COCCN1C(=O)C2(CC(C)(C)Oc3ccc(-c4cccc(Cl)c4)cc32)N=C1N	IC50	'='	329.0	nM	Inhibition of human spleen cathepsin D using 5-FAM/QXL as peptide substrate after 1 hr by FRET assay
CCCN1C(=O)OC[C@@H]1Cc1cc(C[C@@H]2CS(=O)(=O)C[C@H](NCc3cccc(C(C)C)c3)[C@H]2O)ccc1O	IC50	'='	6400.0	nM	Inhibition of human cathepsin D
CCOc1ccc2nc(Sc3ccc(NC(=O)c4cccc(Cl)c4O)cc3)sc2c1	IC50	'>'	10000.0	nM	Inhibitory activity against human liver Cathepsin D using Cathepsin D assay.
CCOc1ccc2nc(Sc3ccc(NC(=O)c4cc(Cl)cc(Cl)c4NC(=O)c4cc(Cl)cc(Cl)c4)cc3)sc2c1	IC50	'='	780.0	nM	Inhibitory activity against human liver Cathepsin D using Cathepsin D assay.
COc1ccc(CN[C@@H](C(=O)N[C@H](C(=O)NCc2nc3ccccc3[nH]2)C(C)C)[C@H](O)[C@H](Cc2ccccc2)NC(=O)[C@@H](NC(=O)C(C)Oc2ccccc2)C(C)(C)C)cc1	IC50	'='	2000.0	nM	Selectivity for their inhibitory potency against human cathepsin D.
CCN(CC)S(=O)(=O)c1ccc(C)c(NC(=O)[C@@H](CC2CCCCC2)NC(=N)NC(=O)Cc2ccc(OC)c(OC)c2)c1.O=C(O)C(F)(F)F	IC50	'='	8.0	nM	Inhibition of human liver Cathepsin D preincubated for 10 mins followed by substrate addition and further incubated for 2 hrs in dark by fluorimetric analysis
Nc1nc2cc(-c3ccccc3)cc(-c3ccc(C(=O)O)cc3)c2c(=O)n1C[C@@H]1CC[C@H](c2ccccc2)O1	IC50	'='	20000.0	nM	Inhibition of human cathepsin D using DABCYL-Glu-Arg-Nle-Phe-Leu-Ser-Phe-Pro-EDANS as substrate preincubated for 30 mins followed by substrate addition measured every 1 min within 8 to 15 mins by FRET assay
Cc1ccc(S(=O)(=O)N(C)C)cc1NC(=O)[C@@H](CC1CCCCC1)NC(=N)NC(=O)Cc1ccc(F)c(F)c1.O=C(O)C(F)(F)F	IC50	'='	63.0	nM	Inhibition of human liver Cathepsin D preincubated for 10 mins followed by substrate addition and further incubated for 2 hrs in dark by fluorimetric analysis
COc1ccc(CC(=O)NC(=N)N[C@H](CC2CCCCC2)C(=O)Nc2cc(S(=O)(=O)N(C(C)C)C(C)C)ccc2C)cc1OC.O=C(O)C(F)(F)F	IC50	'='	11.0	nM	Inhibition of human liver Cathepsin D preincubated for 10 mins followed by substrate addition and further incubated for 2 hrs in dark by fluorimetric analysis
CNS(=O)(=O)c1ccc(C)c(NC(=O)[C@@H](C)NC(=N)NC(=O)Cc2ccc(OC)c(OC)c2)c1.O=C(O)C(F)(F)F	IC50	'='	5947.0	nM	Inhibition of human liver Cathepsin D preincubated for 10 mins followed by substrate addition and further incubated for 2 hrs in dark by fluorimetric analysis
CNS(=O)(=O)c1ccc(C)c(NC(=O)[C@@H](CC2CCCCC2)NC(=N)NC(=O)Cc2ccc(OC)c(C(F)(F)F)c2)c1.O=C(O)C(F)(F)F	IC50	'='	16.0	nM	Inhibition of human liver Cathepsin D preincubated for 10 mins followed by substrate addition and further incubated for 2 hrs in dark by fluorimetric analysis
COC(=O)[C@@H]1CCCN1C(=O)[C@@H](Cc1ccccc1)N(C)C(=O)[C@H](C)NC(=O)[C@@H](NC(=O)C[C@H](O)[C@H](CC(C)C)NC(=O)[C@H](CC(N)=O)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](OC(=O)[C@@H](OC(=O)[C@H](C(C)C)N(C)C)C(C)C)C(C)C)[C@@H](C)O	IC50	'='	26.0	nM	Inhibition of human liver cathepsin D using Mca-Gly-Lys-Pro-Ile-Leu-PhePhe-Arg-Leu-Lys-(Dnp)-D-Arg-NH2 as substrate pretreated for 15 mins followed by substrate addition measured at 5 mins interval for 120 mins by fluorescence assay
Nc1ccc(C(=O)CCC2CNCC=C(COC(=O)c3ccc4ccccc4c3)C2)cc1	IC50	'='	262000.0	nM	Inhibition of human cathepsin D
C[C@]12CCOC[C@@H]1[C@]1(COC(N)=N1)c1cc(-c3cc(F)cc(Cl)c3)ccc1O2	IC50	'='	7500.0	nM	Inhibition of human liver cathepsin D measured for 1 hr by FRET assay
Nc1nc2cc(-c3ccc(CCCc4ccccc4)cc3)ccc2c(=O)n1C[C@@H]1CC[C@H](c2ccccc2)O1	IC50	'='	6000.0	nM	Inhibition of human cathepsin D using DABCYL-Glu-Arg-Nle-Phe-Leu-Ser-Phe-Pro-EDANS as substrate preincubated for 30 mins followed by substrate addition measured every 1 min within 8 to 15 mins by FRET assay
CCCCCCc1ccc(S(=O)(=O)C2C3CCC(N3)C2NCc2ccc3ccccc3c2)cc1	IC50	'='	2030.0	nM	Inhibition of human cathepsin D
CC[C@H](C)[C@H](NC(=O)C[C@H](O)[C@H](Cc1ccccc1)NC(=O)[C@H](CCC(N)=O)N(C)C(=O)[C@@H](NC(=O)[C@H](C)O)[C@@H](C)CC)C(=O)NCC(=O)N(C)[C@H](Cc1ccccc1)C(=O)N1CCC[C@H]1C(=O)O	IC50	'='	57.0	nM	Inhibition of human liver cathepsin D using Mca-Gly-Lys-Pro-Ile-Leu-PhePhe-Arg-Leu-Lys-(Dnp)-D-Arg-NH2 as substrate pretreated for 15 mins followed by substrate addition measured at 5 mins interval for 120 mins by fluorescence assay
CC(C)[C@H](NC(=O)[C@H](C)C[C@H](O)[C@H](COCc1cc(F)cc(F)c1)NC(=O)c1cc(C(=O)N[C@H](C)c2ccccc2)cc(N(C)S(C)(=O)=O)c1)C(=O)NCc1ccccc1	IC50	'='	210.0	nM	Inhibition of human liver cathepsin D after 20 mins by homogeneous time resolved fluorescence assay
CNC(=O)c1cc(C(=O)N[C@@H](COCc2cc(F)cc(F)c2)[C@@H](O)C[C@@H](C)C(=O)N[C@H](C(=O)NCc2ccccc2)C(C)C)cc(N(C)S(C)(=O)=O)c1	IC50	'>'	5000.0	nM	Inhibition of human liver cathepsin D after 20 mins by homogeneous time resolved fluorescence assay
C[C@]12CCOC[C@@H]1[C@]1(COC(N)=N1)c1cc(-c3cccnc3F)ccc1O2	IC50	'='	42000.0	nM	Inhibition of human liver cathepsin D measured for 1 hr by FRET assay
CNS(=O)(=O)c1ccc(C)c(NC(=O)[C@@H](CC2CCCCC2)NC(=N)NC(=O)Cc2ccc(Cl)c(Cl)c2)c1.O=C(O)C(F)(F)F	IC50	'='	36.0	nM	Inhibition of human liver Cathepsin D preincubated for 10 mins followed by substrate addition and further incubated for 2 hrs in dark by fluorimetric analysis
COc1ccc(CC(=O)NC(=N)N[C@H](CC2CC2)C(=O)Nc2cc(S(N)(=O)=O)ccc2C)cc1OC.O=C(O)C(F)(F)F	IC50	'='	95.0	nM	Inhibition of human liver Cathepsin D preincubated for 10 mins followed by substrate addition and further incubated for 2 hrs in dark by fluorimetric analysis
COc1cccc(C(C)(C)NC[C@@H](O)[C@H](Cc2ccccc2)NC(=O)c2cc(C(=O)NCC3CCCCC3)cc(N3CCCCC3)c2)c1	IC50	'='	150.0	nM	Inhibition of human cathepsin D using DABCYL-Glu-Arg-Nle-Phe-Leu-Ser-Phe-Pro-EDANS as substrate preincubated for 30 mins followed by substrate addition and measured every min for 8 to 15 mins by FRET assay
NC1=NC(c2ccc(OC(F)(F)F)cc2)(c2cccc(-c3cccnc3F)c2)C2=NCCCCN12	IC50	'='	10800.0	nM	Inhibition of human cathepsin D by FRET
Clc1ccc2sc(SCCCc3ccc(OC4C5CCC(N5)C4OCc4ccc5ccccc5c4)cc3)nc2c1	IC50	'='	7000.0	nM	Inhibition of human cathepsin D
CCCNC(=O)[C@H]1O[C@@H]1C(=O)N[C@H](C(=O)N1CCC[C@H]1C(=O)O)[C@@H](C)CC	IC50	'>'	100000.0	nM	Inhibition of human liver cathepsin D after 30 mins by fluorometric end-point assay
CC(C)[C@H](NC(=O)[C@H](C)C[C@H](O)[C@H](COc1cc(F)cc(F)c1)NC(=O)c1cc(C(=O)N[C@H](C)c2ccccc2)cc(N(C)S(C)(=O)=O)c1)C(=O)NCc1ccccc1	IC50	'='	59.0	nM	Inhibition of human liver cathepsin D after 20 mins by homogeneous time resolved fluorescence assay
Cc1cc(C#N)cnc1C(=O)Nc1ccc(F)c([C@]2(C)CO[C@@](C)(C(F)(F)F)C(N)=N2)n1	IC50	'='	178000.0	nM	Inhibition of human Cathepsin D using Mca-GKPILFFRLK(DNP)D-R-NH2 as a substrate
CCCCN(CCCC)S(=O)(=O)CCC(=O)N[C@@H](Cc1ccccc1)[C@H](O)CNCc1cccc(OC)c1	IC50	'='	4880.0	nM	Inhibition of human recombinant cathepsin D
CC[C@H](C)[C@H](NC(=O)C[C@H](O)[C@H](CC(C)C)NC(=O)[C@H](CCC(N)=O)N(C)C(=O)[C@H](CC(C)C)NC(=O)[C@H](C)OC(=O)[C@H](Cc1ccccc1)N(C)C)C(=O)N[C@@H](C)C(=O)N(C)[C@H](Cc1ccccc1)C(=O)N1CCC[C@H]1C(=O)OC	IC50	'='	100.0	nM	Inhibition of secreted cathepsin D in human MDA-MB-231 cells using Mca-Gly-Lys-Pro-Ile-Leu-PhePhe-Arg-Leu-Lys-(Dnp)-D-Arg-NH2 as substrate pretreated for 3 days under pH 6.6 conditioned media followed by substrate addition measured at 5 mins interval for 2 hrs by fluorescence assay
CCCCNC(=O)[C@H](C)C[C@H](O)[C@@H]1C[C@H](C)CCCCCCCCC(=O)N[C@@H](C)C(=O)N1	IC50	'='	1700.0	nM	Inhibition of human cathepsin D
CC(C)[C@H](NC(=O)[C@H](C)C[C@H](O)[C@H](COCc1ccccc1)NC(=O)c1cc(C(=O)N[C@H](C)c2ccccc2)cc(N(C)S(C)(=O)=O)c1)C(=O)NCc1ccccc1	IC50	'='	41.0	nM	Inhibition of human liver cathepsin D after 20 mins by homogeneous time resolved fluorescence assay
CC(C)C[C@H](NC(=O)OCC(C)(C)Sc1ccccc1)C(=O)N[C@H](C=O)C[C@@H]1CCNC1=O	IC50	'>'	50000.0	nM	Inhibition of human Cathepsin D
COc1ccc(CC(=O)NC(=N)N[C@H](CC2CCCCC2)C(=O)Nc2cc(S(=O)(=O)NC3CCCCC3)ccc2C)cc1OC.O=C(O)C(F)(F)F	IC50	'='	163.0	nM	Inhibition of human liver Cathepsin D preincubated for 10 mins followed by substrate addition and further incubated for 2 hrs in dark by fluorimetric analysis
COc1ccc(CC(=O)NC(=N)N[C@H](CC2CCCCC2)C(=O)Nc2cc(S(=O)(=O)N3CCN(C)CC3)ccc2C)cc1OC.O=C(O)C(F)(F)F	IC50	'='	86.0	nM	Inhibition of human liver Cathepsin D preincubated for 10 mins followed by substrate addition and further incubated for 2 hrs in dark by fluorimetric analysis
