Smiles	Standard Type	Standard Relation	Standard Value	Standard Units	Assay Description
CS(=O)(=O)c1ccc(-c2ccccc2[C@@H]2CCCC[C@H]2C(=O)NCC#N)cc1	IC50				Inhibitory activity against rabbit Cathepsin K
CSc1ccc(-c2ccccc2[C@H]2CCC(F)(F)C[C@@H]2C(=O)NCC#N)cc1	IC50	'='	9.2	nM	Inhibitory activity against rabbit Cathepsin K
CS(=O)(=O)c1ccc(S(=O)(=O)C[C@@H]2CCCC[C@H]2C(=O)NCC#N)cc1	IC50				Inhibitory activity against rabbit Cathepsin K
CN1CCN(c2nc(-c3ccc(C(=O)NC4(C(=O)NCC#N)CCCCC4)cc3)cs2)CC1	IC50	'='	0.5	nM	Inhibitory activity against rabbit cathepsin K
CC(C)C[C@H](Nc1cscc1-c1ccc(N2CCNCC2)cc1)C(=O)NCC#N	IC50	'='	1.0	nM	Inhibitory concentration against humanized rabbit cathepsin K
Cn1cc(-c2ccc(S(C)(=O)=O)cc2)c([C@@H]2CCC(F)(F)C[C@H]2C(=O)NC2(C#N)CC2)n1	IC50	'='	4.5	nM	Inhibition of rabbit cathepsin K
C[S+]([O-])c1ccc(-c2ccccc2[C@@H]2CCCC[C@H]2C(=O)NCC#N)cc1	IC50				Inhibitory activity against rabbit Cathepsin K
CSc1ccc(-c2c[n+]([O-])ccc2C2CCC(F)(F)CC2C(=O)NCC#N)cc1	IC50	'='	5.0	nM	Inhibition of rabbit cathepsin K
CSc1ccc(-c2ccccc2[C@@H]2CCC(F)(F)C[C@H]2C(=O)NCC#N)cc1	IC50	'='	0.32	nM	Inhibition of rabbit cathepsin K
CS(=O)(=O)c1ccc(-c2cn(CC(F)(F)F)nc2[C@@H]2CCC(F)(F)C[C@H]2C(=O)NC2(C#N)CC2)cc1	IC50	'='	9.3	nM	Inhibition of rabbit cathepsin K
CCCN1CCN(c2ccc(C(=O)NC3(C(=O)NCC#N)CCCCC3)cc2)CC1	IC50	'='	2.7	nM	Inhibitory activity against rabbit cathepsin K
CSc1ccc(-c2nc(C)sc2C2CCC(F)(F)CC2C(=O)NCC#N)cc1	IC50	'='	0.1	nM	Inhibition of rabbit cathepsin K
C[S+]([O-])c1ccc(S(=O)(=O)C[C@@H]2CCCC[C@H]2C(=O)NCC#N)cc1	IC50				Inhibitory activity against rabbit Cathepsin K
CSc1ccc(-c2ccccc2[C@@H]2CCC(F)(F)C[C@H]2C(=O)NCC#N)cc1	IC50	'='	0.32	nM	Inhibitory activity against rabbit Cathepsin K
CC(C)CC(Nc1ccccc1Br)C(=O)NCC#N	IC50	'='	54.0	nM	Inhibitory concentration against humanized rabbit cathepsin K
CSc1ccc(-c2c[nH]c(=O)cc2C2CCC(F)(F)CC2C(=O)NCC#N)cc1	IC50	'='	5.0	nM	Inhibition of rabbit cathepsin K
CC(C)CC(Nc1ccc(Br)cc1)C(=O)NCC#N	IC50	'='	208.0	nM	Inhibitory concentration against humanized rabbit cathepsin K
CC(C)CC(Oc1cccc(Br)c1)C(=O)NCC#N	IC50	'='	1475.0	nM	Inhibitory concentration against humanized rabbit cathepsin K
CC(C)CC(Oc1ccccc1Br)C(=O)NCC#N	IC50	'='	1147.0	nM	Inhibitory concentration against humanized rabbit cathepsin K
CSc1ccc(-c2cn(C)nc2C2CCC(F)(F)CC2C(=O)NCC#N)cc1	IC50	'='	0.4	nM	Inhibition of rabbit cathepsin K
CSc1ccc(-c2c(C3CCC(F)(F)CC3C(=O)NCC#N)cc[nH]c2=O)cc1	IC50	'='	6.0	nM	Inhibition of rabbit cathepsin K
N#CCNC(=O)C1CC(F)(F)CCC1c1cnccc1-c1ccc(SCF)cc1	IC50	'='	2.0	nM	Inhibition of rabbit cathepsin K
CSc1ccc(-c2ncccc2C2CCC(F)(F)CC2C(=O)NCC#N)cc1	IC50	'='	1.0	nM	Inhibition of rabbit cathepsin K
CSc1ccc(-c2c(C3CCC(F)(F)CC3C(=O)NCC#N)nnn2Cc2ccccc2)cc1	IC50	'='	9.0	nM	Inhibition of rabbit cathepsin K
CC(C)CC(Nc1cccc(Br)c1)C(=O)NCC#N	IC50	'='	72.0	nM	Inhibitory concentration against humanized rabbit cathepsin K
CC(C)CC(Cc1ccccc1Br)C(=O)NCC#N	IC50	'='	2352.0	nM	Inhibitory concentration against humanized rabbit cathepsin K
CSc1ccc(-c2ccccc2C2CCC(F)CC2C(=O)NCC#N)cc1	IC50	'='	3.7	nM	Inhibitory activity against rabbit Cathepsin K
CSc1ccc(-c2ccccc2C2CCC(Cl)(Cl)CC2C(=O)NCC#N)cc1	IC50	'='	0.59	nM	Inhibitory activity against rabbit Cathepsin K
CC(C)C[C@@H](C(=O)NCC#N)c1cccc(-c2ccc(N3CCNCC3)cc2)c1	IC50	'='	33.0	nM	Inhibitory activity against rabbit cathepsin K
CC(C)(F)C[C@H](N[C@@H](c1ccc(-c2ccc(S(C)(=O)=O)cc2)cc1)C(F)(F)F)C(=O)NC1(C#N)CC1	IC50	'='	1.0	nM	Inhibition of rabbit cathepsin K
CC(C)C[C@H](N[C@@H](c1ccc(-c2ccc(S(C)(=O)=O)cc2)cc1)C(F)(F)F)C(=O)NCC#N	IC50	'='	13.0	nM	Potency against Cathepsin K in rabbit osteoclasts by bone resorption assay
CSc1ccc(-c2ccccc2C2CCC(F)CC2C(=O)NCC#N)cc1	IC50	'='	12.0	nM	Inhibitory activity against rabbit Cathepsin K
N#CCNC(=O)C1CC(F)(F)CCC1c1ccccc1-c1ccc(F)cc1	IC50	'='	9.2	nM	Inhibitory activity against rabbit Cathepsin K
CSc1ccc(-c2ccccc2C2CCC(F)(F)CC2C(=O)NCC#N)cc1	IC50	'='	0.5	nM	Inhibitory activity against rabbit Cathepsin K
CC(C)C[C@H](N[C@@H](c1ccc(-c2ccc(S(C)(=O)=O)cc2)cc1)C(F)(F)F)C(=O)NCC#N	IC50	'='	0.8	nM	Inhibition of rabbit cathepsin K
CS(=O)(=O)c1ccc(-c2cn(CC(F)(F)F)nc2[C@@H]2CCC(Cl)(Cl)C[C@H]2C(=O)NC2(C#N)CC2)cc1	IC50	'='	6.1	nM	Inhibition of rabbit cathepsin K
CC(C)C[C@H](NC(=O)c1cc2ccccc2o1)C(=O)N[C@H]1CC[C@@H](C)N(S(=O)(=O)c2ccccn2)CC1=O	IC50	'='	0.5	nM	Inhibition of rabbit cathepsin K
CCCN1CCN(c2ccc(C(=O)NC3(C(=O)NCC#N)CCCCC3)cc2)CC1	IC50	'='	2.7	nM	Inhibition of rabbit cathepsin K
N#CCNC(=O)C1(NC(=O)c2ccc(-c3csc(N4CCOCC4)n3)cc2)CCCCC1	IC50	'='	9.5	nM	Inhibitory activity against rabbit cathepsin K
CSc1ccc(-c2ccccc2C2CCC(F)(F)CC2C(=O)NCC#N)cc1	IC50	'='	0.5	nM	Inhibition of rabbit cathepsin K
CC(C)C[C@@H](C(=O)NCC#N)c1cccc(-c2ccc(N3CCNCC3)cc2)c1	IC50	'='	11.0	nM	Inhibitory concentration against humanized rabbit cathepsin K
COc1cccc2c3c([nH]c12)CCN(C(=O)[C@@H]1CCCC[C@H]1C(=O)NC1(C#N)CC1)C3	IC50	'='	0.8	nM	Inhibition of dog recombinant CatK assessed as suppression of enzyme-mediated Z-Phe-Arg-AMC cleavage by QFRET assay
N#CC1(NC(=O)[C@@H]2CCCC[C@H]2C(=O)N2CCN(c3nc4ccccc4s3)CC2)CC1	IC50	'='	18.0	nM	Inhibition of dog recombinant cathepsin K using Z-Phe-Arg-AMC as substrate preincubated for 30 mins measured after 1 hr by quenched fluorescent resonance energy transfer assay
N#CN1CCCC1	IC50	'='	1630.0	nM	Inhibition of Cathepsin K at pH 5.5
CC(C)C[C@H](NC(=O)OCc1ccccc1)C(=O)N[C@H](C#N)Cc1ccc(C(F)(F)F)cc1	IC50	'='	43.0	nM	Inhibition of recombinant human cathepsin K
CC(C)C[C@H](C(=O)NCC#N)c1cccc(-c2ccc3[nH]ccc3c2)c1	IC50	'='	79.0	nM	In vitro inhibitory activity against human cathepsin K, using 2 uM of Z -Leu-Arg-AMC as substrate
CCCC[C@H](NC(=O)OCC1(CCc2ccccc2)CCC1)C(=O)C(=O)N[C@H](C)c1ccccc1	IC50	'='	23.99	nM	Inhibition of human cathepsin K
CCCC[C@H](NC(=O)O[C@H](Cc1nnc(-c2ccc(F)cc2)o1)C(C)(C)C)C(=O)C(=O)NCc1cccnc1	IC50	'='	2.818	nM	Inhibition of human cathepsin K
CCCC[C@H](NC(=O)OCC1(CC)CCC1)C(=O)C(=O)Nc1ccnn1CC	IC50	'='	52.0	nM	Inhibitory potency against human Cathepsin K
C[C@@H](CC1CCCCC1)OC(=O)C1CCN1C#N	IC50	'='	0.048	nM	Inhibitory concentration against human cathepsin K using 10 uM Cbz-Phe-Arg-AMC
CCCC[C@H](NC(=O)O[C@H]1CCc2ccccc21)C(=O)C(=O)N[C@H](C)c1ccccc1	IC50	'='	100.0	nM	Inhibitory concentration against human cathepsin K
CC(C)C[C@H](NC(C#N)c1ccc(Br)cc1)C(=O)NCC#N	IC50	'='	30.0	nM	Inhibitory activity against cathepsin K using humanized rabbit enzyme
CCc1ccc(OC2(C(=O)NCCNc3ccc(OC)cc3)CCCCC2)cc1	IC50	'='	130.0	nM	Inhibitory activity against recombinant human Cathepsin K
CCCC[C@H](NC(=O)OCC1(CSc2ncccn2)CCC1)C(=O)C(=O)N[C@H](C)c1ccccc1	IC50	'='	11.0	nM	Inhibitory potency against human Cathepsin K
COc1ccc(NCCNC(=O)[C@H](CC(C)C)NC(=O)c2ncn(-c3ccccc3Cl)n2)cc1	IC50	'<'	3.0	nM	Inhibition of recombinant rabbit Cathepsin K in a fluorescence assay
O=C(N[C@@H](Cc1ccccc1)C(=O)N[C@@H]1CNC1=O)OCc1ccccc1	IC50	'>'	5000.0	nM	Inhibition of recombinant human Cathepsin K
CCCC[C@H](NC(=O)OC(C(C)C)C(C)C)C(=O)C(=O)N[C@H](C)c1nnco1	IC50	'='	59000.0	nM	Inhibitory concentration against recombinant human cathepsin K
COc1ccc(NCCNC(=O)[C@H](CC(C)C)NC(=O)c2ncn(-c3cccc(Cl)c3Cl)n2)cc1	IC50	'<'	3.0	nM	Inhibition of recombinant rabbit Cathepsin K in a fluorescence assay
COc1ccc(NCCNC(=O)[C@H](CC(C)C)NC(=O)c2ncn(-c3cccc(Cl)c3Cl)n2)cc1	IC50	'='	9.0	nM	Inhibition of recombinant human cathepsin K in fluorescence assay
N#CN1CCC1	IC50	'='	450.0	nM	Inhibition of Cathepsin K at pH 5.5
N#CN1CC(CNS(=O)(=O)c2ccccc2)C1	IC50	'='	20.0	nM	Inhibitory activity tested against Human Cathepsin K using Z-Phe-Arg-pNA as substrate
CN1CCN(c2ccc(CC#Cc3cnc(C#N)nc3NCC(C)(C)C)cc2)CC1	IC50	'='	7.1	nM	Inhibition of human recombinant cathepsin K by fluorescence assay
CN1CCN(CC#Cc2ccc(CN(CC(C)(C)C)c3ccnc(C#N)n3)cc2)CC1	IC50	'='	3.8	nM	Inhibition of human recombinant cathepsin K by fluorescence assay
CC(C)(C)CNc1nc(C#N)ncc1C#CCN1CCc2ccccc2C1	IC50	'='	3.2	nM	Inhibition of human recombinant cathepsin K by fluorescence assay
CCCC[C@H](NC(=O)OCC1(CC)CCC1)C(=O)C(=O)Nc1ccon1	IC50	'='	20.0	nM	Inhibitory potency against human Cathepsin K
CCCC[C@H](NC(=O)OCC1(CC)COC1)C(=O)C(=O)Nc1cc(-c2ccccc2)[nH]n1	IC50	'='	10.0	nM	Inhibitory potency against human Cathepsin K
CCCC[C@H](NC(=O)OCC1(CC)CCCC1)C(=O)C(=O)Nc1ccnn1C	IC50	'='	135.0	nM	Inhibitory potency against human Cathepsin K
CCCC[C@H](NC(=O)OCC(C)(C)CC)C(=O)C(=O)N[C@H](C)c1ccccc1	IC50	'='	36.0	nM	Inhibitory potency against human Cathepsin K
CCCc1cc(-c2ccc(C(F)(F)F)cc2)nc(C#N)n1	IC50	'='	1000.0	nM	Inhibition of human recombinant cathepsin K by fluorescence assay
CC(C)CC(C(=O)NCC#N)c1cccc(-c2ccc3cc[nH]c3c2)c1	IC50	'='	291.0	nM	In vitro inhibitory activity against human cathepsin K, using 2 uM of Z -Leu-Arg-AMC as substrate
CCOc1ccc(-c2cc3c(ncn3C)c(C#N)n2)cc1C(F)(F)F	IC50	'='	1259.0	nM	Inhibition of human cathepsin K by fluorescence assay
CCOc1ccc(-c2cc3c(ncn3CCCN3CCOCC3)c(C#N)n2)cc1C(F)(F)F	IC50	'='	513.0	nM	Inhibition of human cathepsin K by fluorescence assay
CC(=O)Nc1ccc(-c2cc3[nH]cnc3c(C#N)n2)cc1C(F)(F)F	IC50	'>'	10000.0	nM	Inhibition of human cathepsin K by fluorescence assay
N#Cc1cccc(-c2ccc(OCCN3CCCC3=O)c(C(F)(F)F)c2)n1	IC50	'>'	10000.0	nM	Inhibition of human cathepsin K by fluorescence assay
N#Cc1ncc2cc(Cc3ccc(-c4ccccc4)cc3)n(C3CCCCC3)c2n1	IC50	'='	47.0	nM	Inhibition of cathepsin K by fluorescence assay
CCCC[C@H](NC(=O)O[C@@H]1C[C@H](C)C[C@H](C)C1)C(=O)C(=O)N[C@H](C)c1ccccc1	IC50	'='	350.0	nM	Inhibitory concentration against human cathepsin K
N#CC1(NC(=O)[C@H](CS(=O)(=O)Cc2c(F)cccc2F)N[C@@H](c2ccc(F)cc2)C(F)(F)F)CC1	IC50	'>'	10000.0	nM	Inhibition of human cathepsin K
N#CC1(NC(=O)[C@H](CS(=O)(=O)Cc2cccc(F)c2F)N[C@@H](c2ccccc2)C(F)(F)F)CC1	IC50	'>'	10000.0	nM	Inhibition of human cathepsin K
N#CC1(NC(=O)[C@H](CS(=O)(=O)Cc2ccc(F)cc2)N[C@@H](c2ccccc2)C(F)(F)F)CC1	IC50	'>'	10000.0	nM	Inhibition of human cathepsin K
N#CC1(NC(=O)[C@H](CS(=O)(=O)CC2CC2)N[C@@H](c2ccccc2)C(F)(F)F)CC1	IC50	'='	555.0	nM	Inhibition of human cathepsin K
CCCC[C@H](NC(=O)OCC1(CC)CCCC1)C(=O)C(=O)N[C@H](C)c1ccccc1	IC50	'='	68.0	nM	Inhibitory potency against human Cathepsin K
CCCC[C@H](NC(=O)OCC(C)(C)CC)C(=O)C(=O)Nc1cc[nH]n1	IC50	'='	1.6	nM	Inhibitory potency against human Cathepsin K
CCCC[C@H](NC(=O)OCC1(CSc2nccc(-c3ccc(Cl)cc3)n2)CCC1)C(=O)C(=O)N[C@H](C)c1ccccc1	IC50	'='	9.5	nM	Inhibitory potency against human Cathepsin K
CCCC[C@H](NC(=O)OC(C(C)C)C(C)C)C(=O)c1cccs1	IC50	'='	1900.0	nM	Inhibition of 10 uM Cbz-Phe-Arg-AMC binding to human cathepsin K by fluorescence assay
N#CN1Cc2cc3ccccc3nc2C1	IC50	'='	370.0	nM	Inhibitory activity tested against Human Cathepsin K using Z-Phe-Arg-pNA as substrate
N#CN1Cc2cc3ccccc3nc2C1	IC50	'='	360.0	nM	Effect of 10 mM of GSH on the inhibitory activity of compound against Cathepsin K, at pH 5.5
CC(C)CO[C@H]1CCN2C[C@H]1OC2=O	IC50	'='	1102.0	nM	Inhibition of human recombinant cathepsin X
Cc1cccc(O[C@H]2CCN3C[C@H]2OC3=O)c1C	IC50	'='	38.0	nM	Inhibition of human recombinant cathepsin K
CCCC[C@H](NC(=O)OC(C(C)C)C(C)C)C(=O)C(=O)Nc1cccnc1	IC50	'='	95.0	nM	Concentration required to inhibit 50% of cysteine protease cathepsin K of human
N#CC1(NC(=O)[C@@H]2C[C@@H](S(=O)(=O)c3ccccc3)C[C@H]2C(=O)N2CCCC2)CC1	IC50	'>'	25000.0	nM	Inhibition of human cathepsin-K using Z-Leu-Arg-AMC as substrate up to 20 mins by fluorescence assay
N#CC1(NC(=O)[C@@H]2C[C@@H](S(=O)(=O)c3ccccc3)C[C@H]2C(=O)Nc2ccc(F)cc2)CC1	IC50	'>'	25000.0	nM	Inhibition of human cathepsin-K using Z-Leu-Arg-AMC as substrate up to 20 mins by fluorescence assay
N#CCNC(=O)[C@@H]1CN(S(=O)(=O)c2ccccc2Cl)C[C@H]1C(=O)N1CCOCC1	IC50	'>'	25000.0	nM	Inhibition of human cathepsin-K using Z-Leu-Arg-AMC as substrate up to 20 mins by fluorescence assay
CSc1ccc(-c2ncccc2C2CCC(F)(F)CC2C(=O)NCC#N)cc1	IC50	'='	1.0	nM	Inhibition of humaized rabbit cathepsin K
N#Cc1nc(NC2CCCCC2)c(N)c(N2CCOCC2)n1	IC50	'='	23.0	nM	Inhibition of cathepsin K
CC(C)(C)Cn1c(Cn2cnc(Cl)c2Cl)cc2cnc(C#N)nc21	IC50	'='	4.0	nM	Inhibition of cathepsin K by fluorescence assay
CC(C)(C)Cn1c(Cc2ccc(NS(N)(=O)=O)cc2)cc2cnc(C#N)nc21	IC50	'<'	1.0	nM	Inhibition of cathepsin K by fluorescence assay
N#C[C@H](Cc1ccc(-c2csc(C(N)=O)c2)cc1F)NC(=O)C12CCC(CC1)CN2	IC50	'='	800.0	nM	Inhbition Assay: The recombinant human DPPI was diluted in TAGZyme buffer to 1 U/ml (38.1 ug/ml, respectively), and then activated by mixing in a 1:2 ratio with a Cysteamine aqueous solution (2 mM) and incubating for 5 min at room temperature.Five uL test compound (final concentration 0.1 nM to 100 uM) in aqua bidest (containing 4% DMSO, final DMSO concentration 1%) were mixed with 10 uL of DPPI in MES buffer (final concentration 0.0125 ng/uL) and incubated for 10 min. Then, 5 uL of substrate in MES buffer (final concentration 50 uM) were added. The microtiter plates were then incubated at room temperature for 30 min. Then, the reaction was stopped by adding 10 uL of Gly-Phe-DMK in MES-buffer (final concentration 1 uM). The fluorescence in the wells was determined using a Molecular Devices SpectraMax M5 Fluorescence Reader (Ex 360 nm, Em 460 nm) or an Envision Fluorescence Reader (Ex 355 nm, Em 460 nm).
CC[C@H](NC(=O)[C@@H]1C[C@@H](S(=O)(=O)c2ccccc2Cl)CN1C(=O)C1(c2ccc(Cl)cc2)CC1)C(=O)C(=O)NCCc1cccc2ccccc12	IC50	'='	119.2	nM	Enzyme Inhibition Assay: Enzyme activity is measured by observing the increase in fluorescence intensity caused by cleavage of a peptide substrate containing a fluorophore whose emission is quenched in the intact peptide. Assay buffer: 100 mM potassium phosphate pH 6.5, EDTA-Na 5 mM, Triton X-100 0.001%, DTT 5 mM. Enzymes (all at 1 nM): human and mouse Cathepsin S, Cat K, Cat B, Cat L. Substrate (20 μM): Z-Val-Val-Arg-AMC, except for Cat K which uses Z-Leu-Arg-AMC (both from Bachem).Z=Benzyloxycarbonyl.AMC=7-Amino-4-Methyl-Coumarin. DTT=dithiothreitol. Final volume: 100 μL. Excitation 360 nm, Emission 465 nm.
CC(C)(C)OC(=O)N[C@H](C=O)C1CCCCC1	IC50	'='	26.0	nM	Inhibitory activity against recombinant human cathepsin K
CCCC[C@H](NC(=O)OC(CCC)CCC)C(=O)C(=O)N[C@H](C)c1ccccc1	IC50	'='	32.0	nM	Inhibitory activity against human cathepsin K
Cn1c2c(c3c(F)c(F)ccc31)CN(C(=O)[C@@H]1CCCC[C@H]1C(=O)NC1(C#N)CC1)CC2	IC50	'='	3.0	nM	Inhibition of human recombinant CatK assessed as suppression of enzyme-mediated Z-Phe-Arg-AMC cleavage incubated for 1 hrs by QFRET assay
N#CC1(NC(=O)[C@@H]2CCCC[C@H]2C(=O)N2CCc3[nH]c4cc(F)ccc4c3C2)CC1	IC50	'='	4.0	nM	Inhibition of human recombinant CatK assessed as suppression of enzyme-mediated Z-Phe-Arg-AMC cleavage incubated for 1 hrs by QFRET assay
N#CCNC(=O)[C@@H]1CCCC[C@H]1C(=O)N1CC=CCC1	IC50	'='	18.0	nM	Inhibition of human recombinant CatK assessed as suppression of enzyme-mediated Z-Phe-Arg-AMC cleavage incubated for 1 hrs by QFRET assay
CCCC[C@@H](C=O)NC(=O)O[C@@H](C)Cc1ccccc1	IC50	'='	1.8	nM	Inhibitory concentration against recombinant human cathepsin K determined in a fluorescence assay using 10 uM Cbz-Phe-Arg-AMC as substrate
CC[C@H](NC(=O)[C@@H]1C[C@@H](S(=O)(=O)c2ccccc2Cl)CN1C(=O)C1(c2ccc(Cl)cc2)CC1)C(=O)C(=O)NCc1ccccc1	IC50	'='	52.9	nM	Enzyme Inhibition Assay: Enzyme activity is measured by observing the increase in fluorescence intensity caused by cleavage of a peptide substrate containing a fluorophore whose emission is quenched in the intact peptide. Assay buffer: 100 mM potassium phosphate pH 6.5, EDTA-Na 5 mM, Triton X-100 0.001%, DTT 5 mM. Enzymes (all at 1 nM): human and mouse Cathepsin S, Cat K, Cat B, Cat L. Substrate (20 μM): Z-Val-Val-Arg-AMC, except for Cat K which uses Z-Leu-Arg-AMC (both from Bachem).Z=Benzyloxycarbonyl.AMC=7-Amino-4-Methyl-Coumarin. DTT=dithiothreitol. Final volume: 100 μL. Excitation 360 nm, Emission 465 nm.
N#CN1CCCC1	IC50	'='	3400.0	nM	Effect of 10 mM of GSH on the inhibitory activity against Cathepsin K, at pH 7
N#CN1CCCC1	IC50	'='	2300.0	nM	Inhibition of Cathepsin K at pH 7
N#CN1CCC(NC(=O)OCc2ccccc2)C1	IC50	'='	40.0	nM	Inhibitory activity tested against Human Cathepsin K using Z-Phe-Arg-pNA as substrate
O=C(CCc1ccccc1)O[C@@H]1NC(=O)[C@H]1NC(=O)[C@H](Cc1ccccc1)NC(=O)OCc1ccccc1	IC50	'='	38.0	nM	Inhibition of recombinant human Cathepsin K
CC(C)C[C@H](NC(=O)OCc1ccccc1)C(=O)N[C@H](C#N)Cc1ccc(OCc2ccccc2)cc1	IC50	'>'	1000.0	nM	Inhibition of recombinant human cathepsin K
CC(C)C[C@H](N[C@@H](c1ccc(-c2nccs2)cc1)C(F)(F)F)C(=O)NCC#N	IC50	'='	0.3	nM	Inhibition of humanized rabbit Cathepsin K
CC(C)C[C@H](N[C@@H](c1ccc(-c2ccsc2)cc1)C(F)(F)F)C(=O)NCC#N	IC50	'='	0.2	nM	Inhibition of humanized rabbit Cathepsin K
CC(C)C[C@H](N[C@@H](c1ccc(-c2ccc(S(C)(=O)=O)cc2)cc1)C(F)(F)F)C(=O)NCC#N	IC50	'='	0.2	nM	Inhibition of humanized rabbit Cathepsin K
CC(C)C[C@H](N[C@@H](c1ccc(-c2ccccc2F)cc1)C(F)(F)F)C(=O)NCC#N	IC50	'='	0.1	nM	Inhibition of humanized rabbit Cathepsin K
CCSC[C@@H](C=O)NC(=O)OC(C)(C)C	IC50	'='	83.0	nM	Inhibitory activity against recombinant human cathepsin K
CCCC[C@H](NC(=O)OC1CC2CCC1C2)C(=O)C(=O)N[C@H](C)c1ccccc1	IC50	'='	26.0	nM	Inhibitory concentration against human cathepsin K
CC(C)CNc1nc(C#N)nc(N2CCOCC2)c1N	IC50	'='	18.0	nM	Inhibition of cathepsin K
COc1ccc(NCCNC(=O)[C@H](CC(C)C)Nc2cccc(C3CCCCC3)c2)cc1	IC50	'='	60.0	nM	Inhibitory activity against recombinant human Cathepsin K
CC[C@@H](CNc1ccc(OCC(=O)OC(C)(C)C)cc1)NC(=O)[C@H](CC(C)C)Nc1cccc(-c2ccccc2)c1	IC50	'='	6.4	nM	Inhibitory activity against recombinant human Cathepsin K
CCCC[C@H](NC(=O)O[C@@H]1C(=O)N(C(=O)c2nnc(C(F)(F)F)s2)CC1(C)C)C(=O)C(=O)Nc1cc[nH]n1	IC50	'='	1.0	nM	Inhibition of recombinant human cathepsin K by fluorescence assay
CCCC[C@H](NC(=O)O[C@@H]1C(=O)N(C(=O)c2ccc(-c3ccccc3)cc2)CC1(C)C)C(=O)C(=O)N[C@H](C)c1ccccc1	IC50	'='	6.9	nM	Inhibition of recombinant human cathepsin K by fluorescence assay
CCCC[C@H](NC(=O)O[C@@H]1C(=O)N(C(=O)c2ccc3[nH]ccc3c2)CC1(C)C)C(=O)C(=O)N[C@H](C)c1ccccc1	IC50	'='	1.7	nM	Inhibition of recombinant human cathepsin K by fluorescence assay
CCCC[C@H](NC(=O)O[C@@H]1C(=O)N(C(=O)Nc2ccc(C(F)(F)F)cc2)CC1(C)C)C(=O)C(=O)N[C@H](C)c1ccccc1	IC50	'='	2.1	nM	Inhibition of recombinant human cathepsin K by fluorescence assay
CCCC[C@H](NC(=O)O[C@@H]1C(=O)N(C(=O)N2CCOCC2)CC1(C)C)C(=O)C(=O)N[C@H](C)c1ccccc1	IC50	'='	16.0	nM	Inhibition of recombinant human cathepsin K by fluorescence assay
CCCC[C@H](NC(=O)O[C@@H]1C(=O)N(C(=O)NCc2ccccc2)CC1(C)C)C(=O)C(=O)N[C@H](C)c1ccccc1	IC50	'='	3.8	nM	Inhibition of recombinant human cathepsin K by fluorescence assay
CCCC[C@H](NC(=O)O[C@@H]1C(=O)N(C(=O)Nc2ccccc2)CC1(C)C)C(=O)C(=O)N[C@H](C)c1ccccc1	IC50	'='	4.3	nM	Inhibition of recombinant human cathepsin K by fluorescence assay
