Method|Category|File_Index|Test_Accuracy|Precision|Recall|F1-Score|NFeatures
RFE|D|2|0.9635912179946899|0.9647284415292979|0.9635912287960281|0.9636226836165763|130
RFE|D|3|0.9677286148071289|0.9683474378428903|0.9677285891601158|0.967666672994738|90
RFE|D|4|0.9660736322402954|0.9667079641488834|0.9660736450144808|0.9660813268248449|50
RFE|D|5|0.9669011235237122|0.9675239863926942|0.9669011170872983|0.9668934788603119|30
RFE|D|6|0.962763786315918|0.9638639687965314|0.9627637567232106|0.9627872692383761|20
RFE|K|1|0.9370629191398621|0.9381515298431342|0.9370629370629371|0.9367742379131359|150
RFE|K|2|0.9240759015083313|0.9239963151388444|0.9240759240759241|0.923673324846829|130
RFE|K|3|0.9310689568519592|0.9328193757446082|0.9310689310689311|0.9308972967425763|90
RFE|K|4|0.9200799465179443|0.92064218705945|0.9200799200799201|0.9191829929214387|50
RFE|K|5|0.9080919027328491|0.9090673659597001|0.9080919080919081|0.9068353032380484|30
RFE|K|6|0.8821178674697876|0.882325500026849|0.8821178821178821|0.8804266930121261|20

