"Molecule ChEMBL ID"	"Molecule Name"	"Molecule Max Phase"	"Molecular Weight"	"#RO5 Violations"	"AlogP"	"Compound Key"	"Smiles"	"Standard Type"	"Standard Relation"	"Standard Value"	"Standard Units"	"pChEMBL Value"	"Data Validity Comment"	"Comment"	"Uo Units"	"Ligand Efficiency BEI"	"Ligand Efficiency LE"	"Ligand Efficiency LLE"	"Ligand Efficiency SEI"	"Potential Duplicate"	"Assay ChEMBL ID"	"Assay Description"	"Assay Type"	"BAO Format ID"	"BAO Label"	"Assay Organism"	"Assay Tissue ChEMBL ID"	"Assay Tissue Name"	"Assay Cell Type"	"Assay Subcellular Fraction"	"Assay Parameters"	"Assay Variant Accession"	"Assay Variant Mutation"	"Target ChEMBL ID"	"Target Name"	"Target Organism"	"Target Type"	"Document ChEMBL ID"	"Source ID"	"Source Description"	"Document Journal"	"Document Year"	"Cell ChEMBL ID"	"Properties"	"Action Type"	"Standard Text Value"	"Value"
"CHEMBL3342551"	""	"None"	"392.50"	"0"	"3.27"	"7"	"CN1CCN(C(=O)Nc2ccc3c(c2)C(NC(=O)c2ccccc2)CCC3)CC1"	"IC50"	"'='"	"2780.0"	"nM"	"5.56"	""	""	"UO_0000065"	"14.16"	"0.26"	"2.29"	"8.59"	"0"	"CHEMBL3385532"	"Inhibition of mouse cathepsin S using benzyloxycarbonyl-L-Leucyl-L-Arginine 4-Methyl-coumaryl-7-amide substrate by FRET assay"	"B"	"BAO_0000357"	"single protein format"	"Mus musculus"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL4098"	"Cathepsin S"	"Mus musculus"	"SINGLE PROTEIN"	"CHEMBL3351795"	"1"	"Scientific Literature"	"ACS Med Chem Lett"	"2014"	"None"	""	""	""	"2780.0"
"CHEMBL3342554"	""	"None"	"482.56"	"0"	"2.49"	"9"	"CNC(=O)O[C@H]1CCc2ccc(N3CCN(C4COC4)CC3)cc2[C@@H]1NC(=O)c1ccc(F)cc1"	"IC50"	"'='"	"3.91"	"nM"	"8.41"	""	""	"UO_0000065"	"17.42"	"0.33"	"5.92"	"10.11"	"0"	"CHEMBL3385532"	"Inhibition of mouse cathepsin S using benzyloxycarbonyl-L-Leucyl-L-Arginine 4-Methyl-coumaryl-7-amide substrate by FRET assay"	"B"	"BAO_0000357"	"single protein format"	"Mus musculus"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL4098"	"Cathepsin S"	"Mus musculus"	"SINGLE PROTEIN"	"CHEMBL3351795"	"1"	"Scientific Literature"	"ACS Med Chem Lett"	"2014"	"None"	""	""	""	"3.91"
"CHEMBL3984479"	""	"None"	"499.54"	"0"	"4.79"	"BDBM225122"	"N#Cc1nc(-c2ccc(OCCC3CCNCC3)c(C(F)(F)F)c2)c2ccn(CC3CCOC3)c2n1"	"IC50"	"'='"	"3.0"	"nM"	"8.52"	""	"393674"	"UO_0000065"	"17.06"	"0.32"	"3.73"	"10.03"	"0"	"CHEMBL3888381"	"Inhibition Assay: First, spleen cells collected from C57BL/6 mice were seeded in a 96-well plate so as to be a 1× 105 cells/well, then, 5-fold dilution of 10 mM DMSO solution of the test compound was serially performed with RPMI 1640 medium (including 10% fetal bovine serum (FCS), 5×10^−5 M 2-mercaptoethanol, 50 IU/mL penicillin and 50 μg/mL streptomycin) nine times such that the final concentration becomes 0.026 nM to 10 μM, and the resultant products were added thereto (the final DMSO concentration was 0.1%). At the same time, LPS (Sigma L4005) was added to the wells such that the final concentration becomes 2 μg/mL, and culture was performed at 37° C. for 48 hours in 5% CO2. After culturing, the cells were stained at 4° C. for 20 minutes with PE-labeled streptavidin (BD BIOSCIENCE 554061) and biotin-labeled YAe antibody (EBIOSCIENCE 13-5741-85) together with FITC-labeled anti-mouse B220 antibody (BD BIOSCIENCE 553088), and an expression level (fluorescence intensity of YAe-bioti"	"B"	"BAO_0000219"	"cell-based format"	"None"	"None"	"None"	"spleen"	"None"	""	""	""	"CHEMBL4098"	"Cathepsin S"	"Mus musculus"	"SINGLE PROTEIN"	"CHEMBL3886685"	"37"	"BindingDB Patent Bioactivity Data"	""	"2016"	"None"	""	""	""	"3.0"
"CHEMBL3913427"	""	"None"	"459.48"	"0"	"3.82"	"BDBM225138"	"CCN1CCC(CCOc2ncc(-c3nc(C#N)nc4c3ncn4C)cc2C(F)(F)F)CC1"	"IC50"	"'='"	"0.61"	"nM"	"9.21"	""	"393681"	"UO_0000065"	"20.05"	"0.38"	"5.39"	"9.93"	"0"	"CHEMBL3888381"	"Inhibition Assay: First, spleen cells collected from C57BL/6 mice were seeded in a 96-well plate so as to be a 1× 105 cells/well, then, 5-fold dilution of 10 mM DMSO solution of the test compound was serially performed with RPMI 1640 medium (including 10% fetal bovine serum (FCS), 5×10^−5 M 2-mercaptoethanol, 50 IU/mL penicillin and 50 μg/mL streptomycin) nine times such that the final concentration becomes 0.026 nM to 10 μM, and the resultant products were added thereto (the final DMSO concentration was 0.1%). At the same time, LPS (Sigma L4005) was added to the wells such that the final concentration becomes 2 μg/mL, and culture was performed at 37° C. for 48 hours in 5% CO2. After culturing, the cells were stained at 4° C. for 20 minutes with PE-labeled streptavidin (BD BIOSCIENCE 554061) and biotin-labeled YAe antibody (EBIOSCIENCE 13-5741-85) together with FITC-labeled anti-mouse B220 antibody (BD BIOSCIENCE 553088), and an expression level (fluorescence intensity of YAe-bioti"	"B"	"BAO_0000219"	"cell-based format"	"None"	"None"	"None"	"spleen"	"None"	""	""	""	"CHEMBL4098"	"Cathepsin S"	"Mus musculus"	"SINGLE PROTEIN"	"CHEMBL3886685"	"37"	"BindingDB Patent Bioactivity Data"	""	"2016"	"None"	""	""	""	"0.61"
"CHEMBL3969835"	""	"None"	"499.54"	"0"	"4.94"	"BDBM225150"	"N#Cc1nc(-c2ccc(OCCC3CCNCC3)c(C(F)(F)F)c2)c2ccn(CC3CCCO3)c2n1"	"IC50"	"'='"	"2.0"	"nM"	"8.70"	""	"393687"	"UO_0000065"	"17.41"	"0.33"	"3.76"	"10.24"	"0"	"CHEMBL3888381"	"Inhibition Assay: First, spleen cells collected from C57BL/6 mice were seeded in a 96-well plate so as to be a 1× 105 cells/well, then, 5-fold dilution of 10 mM DMSO solution of the test compound was serially performed with RPMI 1640 medium (including 10% fetal bovine serum (FCS), 5×10^−5 M 2-mercaptoethanol, 50 IU/mL penicillin and 50 μg/mL streptomycin) nine times such that the final concentration becomes 0.026 nM to 10 μM, and the resultant products were added thereto (the final DMSO concentration was 0.1%). At the same time, LPS (Sigma L4005) was added to the wells such that the final concentration becomes 2 μg/mL, and culture was performed at 37° C. for 48 hours in 5% CO2. After culturing, the cells were stained at 4° C. for 20 minutes with PE-labeled streptavidin (BD BIOSCIENCE 554061) and biotin-labeled YAe antibody (EBIOSCIENCE 13-5741-85) together with FITC-labeled anti-mouse B220 antibody (BD BIOSCIENCE 553088), and an expression level (fluorescence intensity of YAe-bioti"	"B"	"BAO_0000219"	"cell-based format"	"None"	"None"	"None"	"spleen"	"None"	""	""	""	"CHEMBL4098"	"Cathepsin S"	"Mus musculus"	"SINGLE PROTEIN"	"CHEMBL3886685"	"37"	"BindingDB Patent Bioactivity Data"	""	"2016"	"None"	""	""	""	"2.0"
"CHEMBL3892402"	""	"None"	"527.59"	"2"	"5.67"	"BDBM225171"	"CCN1CCC(CCOc2ccc(-c3nc(C#N)nc4c3ccn4CC3CCCO3)cc2C(F)(F)F)CC1"	"IC50"	"'='"	"2.3"	"nM"	"8.64"	""	"393694"	"UO_0000065"	"16.37"	"0.31"	"2.97"	"11.34"	"0"	"CHEMBL3888381"	"Inhibition Assay: First, spleen cells collected from C57BL/6 mice were seeded in a 96-well plate so as to be a 1× 105 cells/well, then, 5-fold dilution of 10 mM DMSO solution of the test compound was serially performed with RPMI 1640 medium (including 10% fetal bovine serum (FCS), 5×10^−5 M 2-mercaptoethanol, 50 IU/mL penicillin and 50 μg/mL streptomycin) nine times such that the final concentration becomes 0.026 nM to 10 μM, and the resultant products were added thereto (the final DMSO concentration was 0.1%). At the same time, LPS (Sigma L4005) was added to the wells such that the final concentration becomes 2 μg/mL, and culture was performed at 37° C. for 48 hours in 5% CO2. After culturing, the cells were stained at 4° C. for 20 minutes with PE-labeled streptavidin (BD BIOSCIENCE 554061) and biotin-labeled YAe antibody (EBIOSCIENCE 13-5741-85) together with FITC-labeled anti-mouse B220 antibody (BD BIOSCIENCE 553088), and an expression level (fluorescence intensity of YAe-bioti"	"B"	"BAO_0000219"	"cell-based format"	"None"	"None"	"None"	"spleen"	"None"	""	""	""	"CHEMBL4098"	"Cathepsin S"	"Mus musculus"	"SINGLE PROTEIN"	"CHEMBL3886685"	"37"	"BindingDB Patent Bioactivity Data"	""	"2016"	"None"	""	""	""	"2.3"
"CHEMBL3901142"	""	"None"	"458.49"	"0"	"4.42"	"BDBM225126"	"CCN1CCC(CCOc2ncc(-c3nc(C#N)nc4c3ccn4C)cc2C(F)(F)F)CC1"	"IC50"	"'='"	"1.3"	"nM"	"8.89"	""	"393677"	"UO_0000065"	"19.38"	"0.37"	"4.47"	"11.13"	"0"	"CHEMBL3888381"	"Inhibition Assay: First, spleen cells collected from C57BL/6 mice were seeded in a 96-well plate so as to be a 1× 105 cells/well, then, 5-fold dilution of 10 mM DMSO solution of the test compound was serially performed with RPMI 1640 medium (including 10% fetal bovine serum (FCS), 5×10^−5 M 2-mercaptoethanol, 50 IU/mL penicillin and 50 μg/mL streptomycin) nine times such that the final concentration becomes 0.026 nM to 10 μM, and the resultant products were added thereto (the final DMSO concentration was 0.1%). At the same time, LPS (Sigma L4005) was added to the wells such that the final concentration becomes 2 μg/mL, and culture was performed at 37° C. for 48 hours in 5% CO2. After culturing, the cells were stained at 4° C. for 20 minutes with PE-labeled streptavidin (BD BIOSCIENCE 554061) and biotin-labeled YAe antibody (EBIOSCIENCE 13-5741-85) together with FITC-labeled anti-mouse B220 antibody (BD BIOSCIENCE 553088), and an expression level (fluorescence intensity of YAe-bioti"	"B"	"BAO_0000219"	"cell-based format"	"None"	"None"	"None"	"spleen"	"None"	""	""	""	"CHEMBL4098"	"Cathepsin S"	"Mus musculus"	"SINGLE PROTEIN"	"CHEMBL3886685"	"37"	"BindingDB Patent Bioactivity Data"	""	"2016"	"None"	""	""	""	"1.3"
"CHEMBL3342552"	""	"None"	"349.48"	"0"	"3.25"	"8"	"CN1CCN(c2ccc3c(c2)C(NC(=O)c2ccccc2)CCC3)CC1"	"IC50"	"'='"	"3930.0"	"nM"	"5.41"	""	""	"UO_0000065"	"15.47"	"0.28"	"2.16"	"15.19"	"0"	"CHEMBL3385532"	"Inhibition of mouse cathepsin S using benzyloxycarbonyl-L-Leucyl-L-Arginine 4-Methyl-coumaryl-7-amide substrate by FRET assay"	"B"	"BAO_0000357"	"single protein format"	"Mus musculus"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL4098"	"Cathepsin S"	"Mus musculus"	"SINGLE PROTEIN"	"CHEMBL3351795"	"1"	"Scientific Literature"	"ACS Med Chem Lett"	"2014"	"None"	""	""	""	"3930.0"
"CHEMBL3093936"	""	"None"	"395.87"	"0"	"1.28"	"79"	"CC(=O)N1C[C@H](S(=O)(=O)c2ccccc2Cl)C[C@H]1C(=O)NC1(C#N)CC1"	"IC50"	"'='"	"2.0"	"nM"	"8.70"	""	""	"UO_0000065"	"21.97"	"0.46"	"7.42"	"8.10"	"0"	"CHEMBL3096507"	"Inhibition of mouse cathepsin-S using Z-Val-Val-Arg-AMC as substrate up to 20 mins by fluorescence assay"	"B"	"BAO_0000357"	"single protein format"	"Mus musculus"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL4098"	"Cathepsin S"	"Mus musculus"	"SINGLE PROTEIN"	"CHEMBL3091448"	"1"	"Scientific Literature"	"J Med Chem"	"2013"	"None"	""	""	""	"0.002"
"CHEMBL3900039"	""	"None"	"610.68"	"2"	"5.13"	"BDBM225129"	"CN1CCC[C@H]1C(=O)N1CCC(CCOc2ccc(-c3nc(C#N)nc4c3ccn4CC3CCOC3)cc2C(F)(F)F)CC1"	"IC50"	"'='"	"0.97"	"nM"	"9.01"	""	"393680"	"UO_0000065"	"14.76"	"0.28"	"3.88"	"9.34"	"0"	"CHEMBL3888381"	"Inhibition Assay: First, spleen cells collected from C57BL/6 mice were seeded in a 96-well plate so as to be a 1× 105 cells/well, then, 5-fold dilution of 10 mM DMSO solution of the test compound was serially performed with RPMI 1640 medium (including 10% fetal bovine serum (FCS), 5×10^−5 M 2-mercaptoethanol, 50 IU/mL penicillin and 50 μg/mL streptomycin) nine times such that the final concentration becomes 0.026 nM to 10 μM, and the resultant products were added thereto (the final DMSO concentration was 0.1%). At the same time, LPS (Sigma L4005) was added to the wells such that the final concentration becomes 2 μg/mL, and culture was performed at 37° C. for 48 hours in 5% CO2. After culturing, the cells were stained at 4° C. for 20 minutes with PE-labeled streptavidin (BD BIOSCIENCE 554061) and biotin-labeled YAe antibody (EBIOSCIENCE 13-5741-85) together with FITC-labeled anti-mouse B220 antibody (BD BIOSCIENCE 553088), and an expression level (fluorescence intensity of YAe-bioti"	"B"	"BAO_0000219"	"cell-based format"	"None"	"None"	"None"	"spleen"	"None"	""	""	""	"CHEMBL4098"	"Cathepsin S"	"Mus musculus"	"SINGLE PROTEIN"	"CHEMBL3886685"	"37"	"BindingDB Patent Bioactivity Data"	""	"2016"	"None"	""	""	""	"0.97"
"CHEMBL200884"	""	"None"	"313.40"	"0"	"2.40"	"14"	"N#CCNC(=O)[C@H](CC1CCCCC1)NC(=O)c1ccccc1"	"IC50"	"'='"	"13.0"	"nM"	"7.89"	""	""	"UO_0000065"	"25.16"	"0.47"	"5.49"	"9.62"	"0"	"CHEMBL868694"	"Inhibitory activity against mouse cathepsin S"	"B"	"BAO_0000357"	"single protein format"	"Mus musculus"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL4098"	"Cathepsin S"	"Mus musculus"	"SINGLE PROTEIN"	"CHEMBL1141213"	"1"	"Scientific Literature"	"J Med Chem"	"2005"	"None"	""	""	""	"13.0"
"CHEMBL3917872"	""	"None"	"541.58"	"1"	"4.02"	"BDBM225140"	"CN1CCC[C@H]1C(=O)N1CCC(CCOc2ncc(-c3nc(C#N)nc4c3ccn4C)cc2C(F)(F)F)CC1"	"IC50"	"'='"	"1.1"	"nM"	"8.96"	""	"393683"	"UO_0000065"	"16.54"	"0.31"	"4.94"	"8.94"	"0"	"CHEMBL3888381"	"Inhibition Assay: First, spleen cells collected from C57BL/6 mice were seeded in a 96-well plate so as to be a 1× 105 cells/well, then, 5-fold dilution of 10 mM DMSO solution of the test compound was serially performed with RPMI 1640 medium (including 10% fetal bovine serum (FCS), 5×10^−5 M 2-mercaptoethanol, 50 IU/mL penicillin and 50 μg/mL streptomycin) nine times such that the final concentration becomes 0.026 nM to 10 μM, and the resultant products were added thereto (the final DMSO concentration was 0.1%). At the same time, LPS (Sigma L4005) was added to the wells such that the final concentration becomes 2 μg/mL, and culture was performed at 37° C. for 48 hours in 5% CO2. After culturing, the cells were stained at 4° C. for 20 minutes with PE-labeled streptavidin (BD BIOSCIENCE 554061) and biotin-labeled YAe antibody (EBIOSCIENCE 13-5741-85) together with FITC-labeled anti-mouse B220 antibody (BD BIOSCIENCE 553088), and an expression level (fluorescence intensity of YAe-bioti"	"B"	"BAO_0000219"	"cell-based format"	"None"	"None"	"None"	"spleen"	"None"	""	""	""	"CHEMBL4098"	"Cathepsin S"	"Mus musculus"	"SINGLE PROTEIN"	"CHEMBL3886685"	"37"	"BindingDB Patent Bioactivity Data"	""	"2016"	"None"	""	""	""	"1.1"
"CHEMBL3937129"	""	"None"	"430.43"	"0"	"3.69"	"BDBM225119"	"Cn1cnc2c(-c3ccc(OCCC4CCNCC4)c(C(F)(F)F)c3)nc(C#N)nc21"	"IC50"	"'='"	"0.7"	"nM"	"9.15"	""	"393672"	"UO_0000065"	"21.27"	"0.40"	"5.46"	"10.33"	"0"	"CHEMBL3888381"	"Inhibition Assay: First, spleen cells collected from C57BL/6 mice were seeded in a 96-well plate so as to be a 1× 105 cells/well, then, 5-fold dilution of 10 mM DMSO solution of the test compound was serially performed with RPMI 1640 medium (including 10% fetal bovine serum (FCS), 5×10^−5 M 2-mercaptoethanol, 50 IU/mL penicillin and 50 μg/mL streptomycin) nine times such that the final concentration becomes 0.026 nM to 10 μM, and the resultant products were added thereto (the final DMSO concentration was 0.1%). At the same time, LPS (Sigma L4005) was added to the wells such that the final concentration becomes 2 μg/mL, and culture was performed at 37° C. for 48 hours in 5% CO2. After culturing, the cells were stained at 4° C. for 20 minutes with PE-labeled streptavidin (BD BIOSCIENCE 554061) and biotin-labeled YAe antibody (EBIOSCIENCE 13-5741-85) together with FITC-labeled anti-mouse B220 antibody (BD BIOSCIENCE 553088), and an expression level (fluorescence intensity of YAe-bioti"	"B"	"BAO_0000219"	"cell-based format"	"None"	"None"	"None"	"spleen"	"None"	""	""	""	"CHEMBL4098"	"Cathepsin S"	"Mus musculus"	"SINGLE PROTEIN"	"CHEMBL3886685"	"37"	"BindingDB Patent Bioactivity Data"	""	"2016"	"None"	""	""	""	"0.7"
"CHEMBL200301"	""	"None"	"370.45"	"0"	"1.60"	"13"	"N#CCNC(=O)C1(NC(=O)c2ccc(N3CCOCC3)cc2)CCCCC1"	"IC50"	"'='"	"4500.0"	"nM"	"5.35"	""	""	"UO_0000065"	"14.43"	"0.27"	"3.75"	"5.66"	"0"	"CHEMBL868694"	"Inhibitory activity against mouse cathepsin S"	"B"	"BAO_0000357"	"single protein format"	"Mus musculus"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL4098"	"Cathepsin S"	"Mus musculus"	"SINGLE PROTEIN"	"CHEMBL1141213"	"1"	"Scientific Literature"	"J Med Chem"	"2005"	"None"	""	""	""	"4500.0"
